Sum of age,AgeGroup,Sum of approved_month,Sum of approved_year,Year,Quarter,Month,Day,Average of AverageLoan,bank_name_clients_Diamond Bank,bank_name_clients_EcoBank,bank_name_clients_Fidelity Bank,bank_name_clients_FCMB,bank_name_clients_First Bank,bank_name_clients_GT Bank,bank_name_clients_Heritage Bank,bank_name_clients_Keystone Bank,bank_name_clients_Skye Bank,bank_name_clients_Stanbic IBTC,bank_name_clients_Standard Chartered,bank_name_clients_UBA,bank_name_clients_Union Bank,bank_name_clients_Sterling Bank,bank_name_clients_Wema Bank,bank_name_clients_Zenith Bank,DefaultStatus,bank_name_clients_Unity Bank,customerid,employment_status,employment_status_clients_Permanent,employment_status_clients_Retired,employment_status_clients_Self-Employed,employment_status_clients_Student,employment_status_clients_Unemployed,Sum of latitude_gps,level_of_education_clients_Post-Graduate,level_of_education_clients_Primary,level_of_education_clients_Unknown,level_of_education_clients_Secondary,Sum of loanamount,Sum of LoanCount,LoanCountCategory,Sum of longitude_gps,Sum of Max Loan Amount,Sum of loannumber,Sum of termdays,Sum of totaldue,Sum of target,Sum of TotalLoanAmount
40.06297056810403,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,Repaid,false,8a858eda5c8863ff015c889d784b197f,Permanent,true,false,false,false,false,6.4489457,false,false,true,false,10000,3269,Very High (10+ Loans),3.4417891,58310000,2,30,13000,0,₦58310000.0
49.1088295687885,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,Repaid,false,8a858e905bf2fa58015bf4376b7b60a3,Permanent,true,false,false,false,false,6.4601936,false,false,true,false,10000,3269,Very High (10+ Loans),3.4176509,58310000,3,30,13000,0,₦58310000.0
50.2340862422998,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,Repaid,false,8a858ee758b4c54a0158b7169a3f41cb,Permanent,true,false,false,false,false,7.4121664,false,false,true,false,10000,3269,Very High (10+ Loans),3.9765229,58310000,4,30,13000,0,₦58310000.0
40.06297056810403,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858fa257d8223c0157dd6713ec7d05,Permanent,true,false,false,false,false,7.3686207,false,false,false,false,30000,3269,Very High (10+ Loans),3.8675982,58310000,9,30,34500,0,₦58310000.0
52.67898699520876,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858e035693e02901569504a7cd4a8f,Self-Employed,false,false,true,false,false,7.1289625,false,false,false,false,40000,3269,Very High (10+ Loans),3.3419228,58310000,11,60,48000,0,₦58310000.0
51.64955509924709,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858e105c1c09c8015c1f8d43752c0a,Permanent,true,false,false,false,false,4.8284243,false,false,true,false,10000,3269,Very High (10+ Loans),7.0029769,58310000,3,30,13000,0,₦58310000.0
41.41820670773443,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858e3654e2a82401550b034d7f3d53,Permanent,true,false,false,false,false,6.4847565,false,false,true,false,20000,3269,Very High (10+ Loans),3.3576273,58310000,7,30,24500,0,₦58310000.0
47.13210130047912,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858e6d5b252065015b2acdc061657c,Permanent,true,false,false,false,false,6.6108135,false,false,true,false,10000,3269,Very High (10+ Loans),3.2883993,58310000,4,30,13000,0,₦58310000.0
40.3586584531143,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858f03582a54c3015830069801577c,Permanent,true,false,false,false,false,6.4949086,false,false,false,true,20000,3269,Very High (10+ Loans),3.357822,58310000,6,30,24500,0,₦58310000.0
41.44558521560575,Middle Age (41–60),7,2017,2017,Qtr 3,July,1,₦17837.26,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858fcb5ca240f7015ca582b0fa2539,Permanent,true,false,false,false,false,6.4336778,false,false,true,false,10000,3269,Very High (10+ Loans),4.002019,58310000,2,30,13000,1,₦58310000.0
49.38535249828885,Middle Age (41–60),7,2017,2017,Qtr 3,July,2,₦17837.26,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,Repaid,false,8a858f695b5cbd3a015b5cd5ff29188a,Permanent,true,false,false,false,false,6.5234577,false,false,true,false,10000,3269,Very High (10+ Loans),3.3925985,58310000,2,30,13000,1,₦58310000.0
